Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
M4,FALSE,103,Target 1,Unknown,SYBR,12.9595382,0.989520585,1.725316525,Amp,FALSE,13.16,0.22,1.70,1.17,3,7,78.76142883,,,
N4,FALSE,103,Target 1,Unknown,SYBR,13.40098065,0.94883664,1.718889935,Amp,FALSE,,,,,3,8,78.62664795,,,
O4,FALSE,103,Target 1,Unknown,SYBR,13.11996263,0.985767492,1.726416748,Amp,FALSE,,,,,3,7,78.76142883,,,
M6,FALSE,104,Target 1,Unknown,SYBR,12.424161,0.984614065,1.706705777,Amp,FALSE,12.14,0.34,2.79,1.08,3,7,78.62664795,,,
N6,FALSE,104,Target 1,Unknown,SYBR,12.22093255,0.98506412,1.721042443,Amp,FALSE,,,,,3,6,78.49187469,,,
O6,FALSE,104,Target 1,Unknown,SYBR,11.76399779,0.989342637,1.714298572,Amp,FALSE,,,,,3,6,78.76142883,,,
M8,FALSE,105,Target 1,Unknown,SYBR,11.50529659,0.963632845,1.687299616,Amp,FALSE,11.92,0.36,3.04,1.06,3,5,78.76142883,,,
N8,FALSE,105,Target 1,Unknown,SYBR,12.06658864,0.982167506,1.724328742,Amp,FALSE,,,,,3,7,78.76142883,,,
O8,FALSE,105,Target 1,Unknown,SYBR,12.18316464,0.979963954,1.725036372,Amp,FALSE,,,,,3,6,78.62664795,,,
M10,FALSE,106,Target 1,Unknown,SYBR,11.88650704,0.962994199,1.727748641,Amp,FALSE,11.78,0.11,0.90,1.05,3,6,78.76142883,,,
N10,FALSE,106,Target 1,Unknown,SYBR,11.67379993,0.976481536,1.726063462,Amp,FALSE,,,,,3,6,78.76142883,,,
O10,FALSE,106,Target 1,Unknown,SYBR,11.77988634,0.982995816,1.714931095,Amp,FALSE,,,,,3,6,78.76142883,,,
M12,FALSE,107,Target 1,Unknown,SYBR,13.05497338,0.973184904,1.730160598,Amp,FALSE,12.44,0.56,4.47,1.11,3,6,78.49187469,,,
N12,FALSE,107,Target 1,Unknown,SYBR,11.97762136,0.981888974,1.713776551,Amp,FALSE,,,,,3,6,78.62664795,,,
O12,FALSE,107,Target 1,Unknown,SYBR,12.27919423,0.972040667,1.715892409,Amp,FALSE,,,,,3,6,78.76142883,,,
M14,FALSE,108,Target 1,Unknown,SYBR,12.10018617,0.98102333,1.717396106,Amp,FALSE,12.09,0.02,0.20,1.08,3,6,78.76024628,,,
N14,FALSE,108,Target 1,Unknown,SYBR,12.06582615,0.982827384,1.721195975,Amp,FALSE,,,,,3,7,78.76024628,,,
O14,FALSE,108,Target 1,Unknown,SYBR,12.11239275,0.979145524,1.722457505,Amp,FALSE,,,,,3,6,78.76024628,,,
M16,FALSE,109,Target 1,Unknown,SYBR,12.94438109,0.984888831,1.732868288,Amp,FALSE,13.03,0.15,1.14,1.16,3,7,78.62545776,,,
N16,FALSE,109,Target 1,Unknown,SYBR,13.2001058,0.932545614,1.683749245,Amp,FALSE,,,,,3,8,78.62545776,,,
O16,FALSE,109,Target 1,Unknown,SYBR,12.93942898,0.984382635,1.718407215,Amp,FALSE,,,,,3,7,78.62545776,,,
